"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_0)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_1)\Power","\\NATHANS_LAPTOP\Energy Meter(CPU_CLUSTER_2)\Power","\\NATHANS_LAPTOP\Energy Meter(GPU)\Power","\\NATHANS_LAPTOP\Energy Meter(PSU_USB)\Power","\\NATHANS_LAPTOP\Energy Meter(SYS)\Power","\\NATHANS_LAPTOP\Energy Meter(USBC_TOTAL)\Power","\\NATHANS_LAPTOP\Energy Meter(_Total)\Power","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Utility","\\NATHANS_LAPTOP\Processor Information(_Total)\% Processor Time","\\NATHANS_LAPTOP\Processor Information(_Total)\Processor Frequency","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ0)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ2)\High Precision Temperature","\\NATHANS_LAPTOP\Thermal Zone Information(\_SB.TZ98)\High Precision Temperature","\\NATHANS_LAPTOP\Memory\Available MBytes"
"09/05/2026 11:33:16.218","2970.0014802997966399","9880.0049295420412818","5770.0028779614976884","210.0001041958594783","34860.01739352261211","37780.018852264642192","0","0","50.048826147586389368","57.660210674115397467","3045","3422","3598","3598","1711"
"09/05/2026 11:33:17.222","3520.0079866415603647","10150.023036202792355","6300.0142999253912421","220.0004973887092774","39580.089839059226506","42770.097079617720738","0","0","55.319955273733356194","64.61607711843873858","3045","3434","3618","3606","1698"
"09/05/2026 11:33:18.231","4769.9890388100920973","9699.9777108087109809","8809.9797570413411449","189.99956126470843287","38519.911497741595667","40869.90609626283549","0","0","51.283857856101434436","58.679504844315303558","3129","3442","3586","3586","1781"
"09/05/2026 11:33:19.237","3140","10120","7120","230","38140","39810","0","0","50.687471662453489785","55.728596575261171608","2860","3426","3633","3633","1642"
"09/05/2026 11:33:20.246","4320.0047112234187807","10620.011581757571548","6470.0070525586943404","240.00026054493150696","36800.040131057670806","38180.041637221518613","0","0","51.975308974564171649","56.401927490374291096","3231","3422","3618","3618","1775"
"09/05/2026 11:33:21.254","2859.9951782718867435","10379.982504728934146","5589.9905778221918808","229.99961097826474088","37469.936846425640397","39869.932802740993793","0","0","48.897641696707900394","53.606220694844871844","2943","3450","3598","3598","1773"
"09/05/2026 11:33:22.264","2629.9992128998555927","10109.996983975355761","6109.9981753587562707","239.99992844544144077","37499.988819600221177","39639.988179186926573","0","0","50.041767084807275978","54.644830481202774308","3231","3438","3610","3610","1785"
"09/05/2026 11:33:23.271","3560.0074621768994803","9970.0209020032143599","6680.0140041624281366","230.00048166267077931","36700.076951003400609","38600.080933706682117","0","0","50.280906609782341832","55.757564618172558824","2860","3446","3626","3626","1691"
"09/05/2026 11:33:24.285","4110.0028599040733752","9990.0069511060210061","7470.0051972224209749","240.00016465029708002","35900.024983892908494","38310.026662610063795","0","0","51.083800661853850045","58.813237746611889634","3314","3450","3586","3586","1788"
"09/05/2026 11:33:25.299","3579.9939175943745795","10519.982130460586632","7459.9873280218689615","229.99960793482367194","38309.934927971509751","41209.930000179847411","0","0","53.522423987952983282","60.687200803389586667","2841","3442","3626","3633","1715"
"09/05/2026 11:33:26.314","3509.9961758877784632","9939.9891727372523746","8989.9902098450402264","189.99978972728698068","41349.954969563914347","43569.952549645742693","0","0","53.439162761085597708","61.531666492030687721","3231","3426","3645","3645","1672"
"09/05/2026 11:33:27.319","3640.0057712692864698","10220.016210949350352","8300.013162919683964","170.00026768410421596","42520.067445686894644","45510.072189049220469","0","0","52.012703084511507257","59.95262522126677851","2943","3458","3606","3606","1661"
"09/05/2026 11:33:28.331","2789.9953018507430897","10089.983014657655076","6129.9896804688169141","199.99966136253456739","37839.936304075054068","40119.93246499558154","0","0","50.380575572560125863","57.65965763839779612","3417","3438","3645","3645","1654"
"09/05/2026 11:33:29.354","5180.0134161998548734","9790.02535486045781","6600.0170921166827611","230.00059531921303346","37830.09798021819006","39030.101089505886193","0","0","50.546977714396511772","55.963963470837363445","3417","3470","3633","3633","1724"
"09/05/2026 11:33:30.372","2399.9985640024124223","10149.993925730204865","6119.9963382061514494","239.99985640024124223","34919.979106235099607","37539.977537407736236","0","0","49.831496303143779869","55.097923052739126604","3231","3442","3614","3614","1732"
"09/05/2026 11:33:31.380","3120.003379828136076","10200.011050938584958","6460.0069972727305867","230.00024825600158351","35940.038944273619563","38430.041643171010946","0","0","49.703464247957867883","59.182951327060528968","3231","3438","3610","3610","1737"
"09/05/2026 11:33:32.386","4509.9973014676861567","10169.993917536870867","6919.9958589012094308","239.99985646104713055","37739.977428499660164","39489.976380665306351","0","0","49.192176684055702651","54.946185486790490415","2757","3446","3622","3622","1723"
"09/05/2026 11:33:33.395","2799.9991674701409465","10419.996908254497612","4869.9985555251159894","239.99992884360179346","36529.989166438375833","38979.988440643108333","0","0","50.281044839771894317","56.641741862274351149","3314","3446","3626","3626","1731"
"09/05/2026 11:33:34.413","2590.002560650740179","10490.010374374973253","6030.0059653546450136","240.00023505278002744","35690.035304215278302","37650.037245181418257","0","0","49.403360842850119639","53.840288208934580894","3026","3434","3614","3614","1763"
"09/05/2026 11:33:35.428","3489.9993022285525512","10149.997971427337689","6729.9986548117458369","239.99994964535946451","40399.991925273716333","42439.991518839829951","0","0","49.73520031153090315","55.743748448952899821","3045","3446","3645","3645","1774"
"09/05/2026 11:33:36.439","3209.9983967964685689","9789.995111307616753","7109.9964485087693902","239.99987778269044725","36359.981847134906275","38139.980955667466333","0","0","54.710308909750764883","59.575460178504869191","3045","3462","3673","3673","1684"
"09/05/2026 11:33:37.448","3489.9979183283676321","11049.993411616585945","6589.9960691458354631","239.99985692978472684","38899.976808318104304","41039.975534993187466","0","0","49.432698944094944693","54.029636564324455605","3045","3454","3633","3633","1713"
"09/05/2026 11:33:38.464","4630.0023104978527044","10960.005469016690768","7230.0036076824953852","240.00011857920551961","34660.017294597462751","36930.018430083182466","0","0","51.939902601744989852","56.315624029976227405","3231","3454","3610","3610","1667"
"09/05/2026 11:33:39.472","4259.9893879893124904","10309.974321731489908","7589.9810963473019001","219.999451288396358","39119.902569620026043","41799.895895422021567","0","0","58.174086278495487079","59.179760395136312923","3045","3470","3673","3673","1534"
"09/05/2026 11:33:40.489","4980.0014912608521627","10620.0031801586847","7820.0023393031679007","220.00006468119357805","41460.012415195771609","44060.013191370089771","0","0","54.685598674177143153","62.730983650593387324","3314","3442","3641","3641","1597"
"09/05/2026 11:33:41.505","4750.0105682502853597","10420.010338036528992","8184.9830361237754914","200.00044244206438293","39225.040549995057518","41050.030188577438821","0","0","50.517068255705034119","55.923906561751280719","3314","3446","3633","3633","1602"
"09/05/2026 11:33:42.511","3209.9945770375456959","9779.9834771348450886","5799.9902021806319681","199.99966017055859879","37399.936820341114071","39369.933493589742284","0","0","50.764496785557582825","52.516744329086620269","3045","3442","3626","3626","1585"
"09/05/2026 11:33:43.529","3430.0065018805162254","10010.018977588269991","6530.0123787183747481","200.00037718091391525","39060.074053186101082","41220.078148293163395","0","0","52.173503392164384707","58.158000481724968722","3314","3482","3649","3649","1487"
"09/05/2026 11:33:44.539","5019.9944799294698896","10399.988564025981759","7469.9917846668704442","199.99977689415067061","37859.958369168212812","39399.95667788193532","0","0","50.353181120637174217","54.989775245575359008","3129","3446","3614","3614","1575"
"09/05/2026 11:33:45.551","3779.996250026785674","10659.989421504131315","6519.9935286176523732","209.99978928721938587","39659.960653852474934","41179.959146720379067","0","0","51.77042845813836891","55.37878606822097538","3045","3498","3649","3649","1589"
"09/05/2026 11:33:46.573","3350.0016665531738909","9830.0048921399611572","7640.0038026084248486","220.00010751955960586","39920.019869614610798","42010.020908970356686","0","0","52.374772296891961787","52.847995154930835326","3314","3454","3637","3637","1570"
